id_question,role,term,name_en,code,tree_ids,hierarchy_path,scope_note
2302,primary,Síndrome Antifosfolipídica,Antiphospholipid Syndrome,D016736,C20.111.197,Doenças › C20.111.197,"Presença de anticorpos dirigidos contra fosfolipídeos (ANTICORPOS ANTIFOSFOLÍPIDES). A afecção está associada com uma variedade de doenças, lúpus eritematoso sistêmico notável e outras doenças de tecido conjuntivo, trombopenia e tromboses arteriais ou venosas. Na gravidez, pode causar aborto. Dos fosfolipídeos, as cardiolipinas demonstram níveis proeminentemente elevados de ANTICORPOS ANTICARDIOLIPINAS. Níveis altos de anticoagulante de lúpus também estão presentes (INIBIDOR DE COAGULAÇÃO DO LÚPUS)."
2303,primary,Síndromes Paraneoplásicas,Paraneoplastic Syndromes,D010257,C04.730,Doenças › C04.730,Em pacientes com doenças neoplásicas uma variedade grande de quadros clínicos que são os efeitos indiretos e normalmente remotos produzidos por metabólitos de células tumorais e outros produtos.
2303,primary,Neoplasias Pulmonares,Lung Neoplasms,D008175,C04.588.894.797.520; C08.381.540; C08.785.520,Doenças › C04.588.894.797.520,Tumores ou câncer do PULMÃO.
2304,primary,Lúpus Eritematoso Sistêmico,"Lupus Erythematosus, Systemic",D008180,C17.300.480; C20.111.590,Doenças › C17.300.480,"Transtorno multissistêmico, crônico, recidivante, inflamatório e geralmente febril do tecido conjuntivo, caracterizado principalmente pelo envolvimento da pele, articulações, rins e membranas serosas. É de etiologia desconhecida, mas acredita-se que represente uma insuficiência dos mecanismos regulatórios do sistema autoimune. A doença é caracterizada por uma ampla faixa de disfunções sistêmicas, uma taxa de sedimentação de eritrócitos elevada e a formação de células LE no sangue ou na medula óssea."
2305,primary,Ácido Úrico,Uric Acid,D014527,D03.132.960.877; D03.633.100.759.758.824.877,Compostos Químicos e Drogas › D03.132.960.877,"Produto de oxidação (através da XANTINA OXIDASE) de oxipurinas, como XANTINA e HIPOXANTINA. É o produto final da oxidação do catabolismo da purina em humanos e primatas, enquanto na maioria de outros mamíferos a URATO OXIDASE é oxidada posteriormente a ALANTOÍNA."
2305,primary,Gota,,6223,C05.550.114.423; C05.550.354.500; C05.799.414; C16.320.565.798.368; C18.452.648.798.368,Doenças › C05.550.114.423,
2306,primary,Choque Séptico,"Shock, Septic",D012772,C01.757.800; C23.550.470.790.500.800; C23.550.835.900.712,Doenças › C01.757.800,"Sepse associada à HIPOTENSÃO ou hipoperfusão, apesar de restauração adequada de líquido. As anormalidades da perfusão podem incluir, mas não estão limitadas a ACIDOSE LÁCTICA, OLIGÚRIA ou alteração aguda no estado mental."
2307,primary,Hipertensão,Hypertension,D006973,C14.907.489,Doenças › C14.907.489,"PRESSÃO ARTERIAL sistêmica persistentemente alta. Com base em várias medições (DETERMINAÇÃO DA PRESSÃO ARTERIAL), a hipertensão é atualmente definida como sendo a PRESSÃO SISTÓLICA repetidamente maior que 140 mm Hg ou a PRESSÃO DIASTÓLICA de 90 mm Hg ou superior."
2307,primary,Diabetes Mellitus Tipo 2,"Diabetes Mellitus, Type 2",D003924,C18.452.394.750.149; C19.246.300,Doenças › C18.452.394.750.149,"Subclasse de DIABETES MELLITUS que não é responsiva ou dependente de INSULINA (DMNID). Inicialmente, caracteriza-se por RESISTÊNCIA À INSULINA e HIPERINSULINEMIA e finalmente, por INTOLERÂNCIA À GLUCOSE, HIPERGLICEMIA e obviamente diabetes. O diabetes mellitus tipo 2 não é mais considerado uma doença encontrada exclusivamente em adultos. Os pacientes, raramente desenvolvem CETOSE, porém com frequência exibem OBESIDADE."
2308,primary,Hipotireoidismo,Hypothyroidism,D007037,C19.874.482,Doenças › C19.874.482,"Síndrome resultante da secreção anormalmente baixa dos HORMÔNIOS TIREÓIDEOS da GLÂNDULA TIREOIDE, levando a uma diminuição do METABOLISMO BASAL. Em sua forma mais grave, ocorre o acúmulo de MUCOPOLISSACARÍDEOS na PELE, causando um EDEMA conhecido como MIXEDEMA. Pode ser primário ou secundário devido a outras doenças da HIPÓFISE ou disfunção do hipotálamo."
2309,primary,Autoanticorpos,Autoantibodies,D001323,D12.776.124.486.485.114.323; D12.776.124.790.651.114.323; D12.776.377.715.548.114.323,Compostos Químicos e Drogas › D12.776.124.486.485.114.323,Anticorpos que reagem com AUTOANTÍGENOS do organismo que os produziu.
2309,primary,Diabetes Mellitus Tipo 1,"Diabetes Mellitus, Type 1",D003922,C18.452.394.750.124; C19.246.267; C20.111.327,Doenças › C18.452.394.750.124,"Subtipo de DIABETES MELLITUS caracterizada por deficiência de INSULINA. Manifesta-se por um início repentino de intensa HIPERGLICEMIA, progressão rápida a CETOACIDOSE DIABÉTICA e MORTE, a menos que tratada com insulina. A doença pode ocorrer em qualquer idade, mas é mais comum durante a infância ou adolescência."
2310,primary,Fístula Gástrica,Gastric Fistula,D005747,C06.267.375; C23.300.575.185.375,Doenças › C06.267.375,Via anormal comunicando com ESTÔMAGO.
2310,primary,Gastrectomia,Gastrectomy,D005743,E04.210.419,Técnicas e Equipamentos Analíticos › E04.210.419,"Excisão de todo (g. total) ou parte (g. subtotal, g. parcial, ressecção gástrica) do estômago. (Dorland, 28a ed)"
2311,primary,Estadiamento de Neoplasias,Neoplasm Staging,D009367,E01.789.625,Técnicas e Equipamentos Analíticos › E01.789.625,Métodos que tentam expressar em termos replicáveis a extensão de neoplasias no paciente.
2312,primary,Colecistectomia,Cholecystectomy,D002763,E04.210.120.172,Técnicas e Equipamentos Analíticos › E04.210.120.172,Remoção cirúrgica da VESÍCULA BILIAR.
2312,primary,Colangiografia,Cholangiography,D002758,E01.370.350.700.715.200; E01.370.372.200,Técnicas e Equipamentos Analíticos › E01.370.350.700.715.200,Exame de imagem do TRATO BILIAR em que um corante de contraste (MEIO RADIOPACO) é injetado no DUCTO COLÉDOCO e são tiradas radiografias por raios X.
2313,primary,Traumatismos Abdominais,Abdominal Injuries,D000007,C26.017,Doenças › C26.017,Traumatismos gerais ou não específicos envolvendo órgãos da cavidade abdominal.
2313,primary,Hipovolemia,Hypovolemia,D020896,C23.550.455,Doenças › C23.550.455,Volume anormalmente baixo de sangue circulante através do corpo. Pode resultar em choque hipovolêmico (ver CHOQUE).
2314,primary,Segurança do Paciente,Patient Safety,D061214,N06.850.135.060.075.399; SP9.898.783,N › N06.850.135.060.075.399,"Esforços para reduzir riscos, identificar e reduzir incidentes e acidentes que podem impactar negativamente os consumidores de cuidados de assistência à saúde."
2315,primary,Cálculos Renais,Kidney Calculi,D007669,C12.050.351.968.419.600.500; C12.050.351.968.967.249.500; C12.050.351.968.967.500.503; C12.200.777.419.600.500; C12.200.777.967.249.500; C12.200.777.967.500.503; C12.950.419.600.500; C12.950.967.249.500; C12.950.967.500.503; C23.300.175.850.550,Doenças › C12.050.351.968.419.600.500,"Pedras no RIM, geralmente formadas na área coletora de urina (PELVE RENAL). Seus tamanhos variam e a maioria contém OXALATO DE CÁLCIO."
2316,primary,Hérnia Incisional,Incisional Hernia,D000069290,C23.300.707.945; C23.550.767.500,Doenças › C23.300.707.945,Protrusão de tecidos ou próximo ao local da incisão de uma cirurgia prévia.
2317,primary,Obstrução Intestinal,Intestinal Obstruction,D007415,C06.405.469.531,Doenças › C06.405.469.531,Qualquer prejuízo (parada ou reversão) no fluxo do CONTEÚDO INTESTINAL no sentido do CANAL ANAL.
2317,primary,Intestino Delgado,"Intestine, Small",D007421,A03.556.124.684,Anatomia › A03.556.124.684,"Porção do TRATO GASTRINTESTINAL entre o PILORO (do ESTÔMAGO) e a VALVA ILEOCECAL (do INTESTINO GROSSO). É dividido em três porções: DUODENO, JEJUNO e ÍLEO."
2318,primary,Dor no Peito,Chest Pain,D002637,C23.888.592.612.233; F02.830.816.444.427; G11.561.790.444.451,Doenças › C23.888.592.612.233,"Pressão, queimadura ou entorpecimento no peito."
2318,primary,Angina Instável,"Angina, Unstable",D000789,C14.280.647.187.150; C14.907.585.187.150; C23.888.592.612.233.500.150,Doenças › C14.280.647.187.150,Dor pré-cordial durante o repouso que pode preceder a um INFARTO DO MIOCÁRDIO.
2319,primary,Infarto do Miocárdio sem Supradesnível do Segmento ST,Non-ST Elevated Myocardial Infarction,D000072658,C14.280.647.500.469; C14.907.585.500.656; C23.550.513.355.750.469; C23.550.717.489.750.469,Doenças › C14.280.647.500.469,Infarto do miocárdio que não produz elevações nos segmentos ST do ELETROCARDIOGRAMA. A elevação do segmento ST no ECG é usada com frequência para determinação do protocolo de tratamento (veja também INFARTO DO MIOCÁRDIO COM SUPRADESNÍVEL DO SEGMENTO ST).
2320,primary,Insuficiência Cardíaca,Heart Failure,D006333,C14.280.434,Doenças › C14.280.434,"Afecção heterogênea em que o coração é incapaz de bombear sangue suficiente para satisfazer as necessidades metabólicas do corpo. A insuficiência cardíaca pode ser causada por defeitos estruturais, anomalias funcionais (DISFUNÇÃO VENTRICULAR), ou uma sobrecarga súbita além de sua capacidade. A insuficiência cardíaca crônica é mais comum que a insuficiência cardíaca aguda que resulta de injúria repentina à função cardíaca, como INFARTO DO MIOCÁRDIO."
2321,primary,Fibrilação Atrial,Atrial Fibrillation,D001281,C14.280.067.198; C23.550.073.198,Doenças › C14.280.067.198,"Ritmo cardíaco anormal caracterizado por descargas de impulsos elétricos descoordenados e rápidos, nas câmaras superiores do coração (ÁTRIOS DO CORAÇÃO). Em tal caso, o sangue não pode ser eficazmente bombeado nas câmaras inferiores do coração (VENTRÍCULOS DO CORAÇÃO). É causado por geração de impulso anormal."
2322,primary,Doença Pulmonar Obstrutiva Crônica,"Pulmonary Disease, Chronic Obstructive",D029424,C08.381.495.389; C23.550.291.500.875,Doenças › C08.381.495.389,Doença obstrutiva crônica de fluxo difuso e irreversível. Entre as subcategorias da DPOC estão BRONQUITE CRÔNICA e ENFISEMA PULMONAR.
2323,primary,Doença Pulmonar Obstrutiva Crônica,"Pulmonary Disease, Chronic Obstructive",D029424,C08.381.495.389; C23.550.291.500.875,Doenças › C08.381.495.389,Doença obstrutiva crônica de fluxo difuso e irreversível. Entre as subcategorias da DPOC estão BRONQUITE CRÔNICA e ENFISEMA PULMONAR.
2324,primary,Vancomicina,Vancomycin,D014640,D09.400.420.925; D12.644.233.925,Compostos Químicos e Drogas › D09.400.420.925,"Antibacteriano obtido a partir do Streptomyces orientalis. É um glicopeptídeo relacionado à RISTOCETINA, que inibe a formação da parede celular. Tem efeito nefro e oto-tóxico."
2324,primary,Hiperpotassemia,Hyperkalemia,D006947,C18.452.950.396,Doenças › C18.452.950.396,"Concentração anormalmente alta de potássio no sangue, mais frequentemente devido à excreção renal defeituosa. Ela é caracterizada clinicamente por anormalidades eletrocardiográficas (ondas T elevadas e ondas P deprimidas e, eventualmente, assistolia atrial). Nos casos graves, pode ocorrer fraqueza e paralisia flácida. (Dorland, 28a ed)"
2325,primary,Vírus da Influenza A,Influenza A virus,D009980,B04.820.480.968.405.400,Organismos › B04.820.480.968.405.400,"Alphainfluenzavirus influenzae, a espécie-tipo do gênero INFLUENZAVIRUS A que causa influenza e outras doenças em humanos e animais. A variação antigênica ocorre frequentemente entre as linhagens permitindo a classificação em subtipos e variantes. A transmissão ocorre por aerossol (hospedeiros humanos e a maioria dos não aquáticos) ou pela água (patos). Aves infectadas liberam o vírus em sua saliva, secreções nasais e fezes."
2326,primary,Metrorragia,Metrorrhagia,D008796,C12.050.351.500.852.691.622; C12.100.250.852.691.622; C23.550.414.993.700,Doenças › C12.050.351.500.852.691.622,"Sangramento uterino anormal, não relacionado com a MENSTRUAÇÃO, geralmente em fêmeas sem CICLO MENSTRUAL regular. O sangramento irregular (ou imprevisível) vem de uma disfunção no ENDOMÉTRIO."
2326,primary,Placenta Prévia,Placenta Previa,D010923,C12.050.703.420.714; C12.050.703.590.734,Doenças › C12.050.703.420.714,"Formação anormal da PLACENTA que se fixa no segmento inferior do ÚTERO (zona de dilatação), e pode recobrir parte ou toda a abertura do COLO. Frequentemente é associada com sangramento importante antes do parto e TRABALHO DE PARTO PREMATURO."
2327,primary,Mamografia,Mammography,D008327,E01.370.350.700.500,Técnicas e Equipamentos Analíticos › E01.370.350.700.500,Exame radiográfico das mamas.
2327,primary,Neoplasias da Mama,Breast Neoplasms,D001943,C04.588.180; C17.800.090.500,Doenças › C04.588.180,Tumores ou câncer da MAMA humana.
2328,primary,Infecções por Papillomavirus,Papillomavirus Infections,D030361,C01.221.812.640.700; C01.778.640.700; C01.925.256.650; C01.925.813.700; C01.925.928.725; C12.100.937.640.700; C23.550.291.531.937.640.500,Doenças › C01.221.812.640.700,"Neoplasias da pele e mucosas causadas por papilomavírus. Geralmente são benignos, mas alguns possuem alto risco para progressão de malignidade."
2328,primary,Gravidez,Pregnancy,D011247,G08.686.784.769,Fenômenos Biológicos › G08.686.784.769,Estado durante o qual os mamíferos fêmeas carregam seus filhotes em desenvolvimento (EMBRIÃO ou FETO) no útero (antes de nascer) começando da FERTILIZAÇÃO ao NASCIMENTO.
2329,primary,Adenomiose,Adenomyosis,D062788,C12.050.351.500.852.113; C12.100.250.852.113,Doenças › C12.050.351.500.852.113,Extensão do tecido endometrial (ENDOMÉTRIO) no MIOMÉTRIO. Geralmente ocorre nas mulheres durante seus anos reprodutivos e pode resultar em um útero difusamente alargado com glândulas e estroma endometriais ectópicos e benignos.
2329,primary,Metrorragia,Metrorrhagia,D008796,C12.050.351.500.852.691.622; C12.100.250.852.691.622; C23.550.414.993.700,Doenças › C12.050.351.500.852.691.622,"Sangramento uterino anormal, não relacionado com a MENSTRUAÇÃO, geralmente em fêmeas sem CICLO MENSTRUAL regular. O sangramento irregular (ou imprevisível) vem de uma disfunção no ENDOMÉTRIO."
2330,primary,Trabalho de Parto,"Labor, Obstetric",D007743,G08.686.784.769.326,Fenômenos Biológicos › G08.686.784.769.326,"Contração uterina repetitiva durante o parto, associada com a dilatação progressiva do COLO DO ÚTERO. Um trabalho de parto bem sucedido resulta na expulsão do FETO e PLACENTA. O trabalho de parto pode ser espontâneo ou induzido (TRABALHO DE PARTO INDUZIDO)."
2331,primary,Insuficiência Ovariana Primária,Primary Ovarian Insufficiency,D016649,C12.050.351.500.056.630.750; C12.100.250.056.630.750; C19.391.630.750,Doenças › C12.050.351.500.056.630.750,"Interrupção da função ovariana depois da MENARCA, porém antes dos 40 anos de idade, com ou sem depleção do FOLÍCULO OVARIANO. É caracterizada pela presença da OLIGOMENORREIA ou AMENORREIA, níveis elevados de GONADOTROPINAS e baixos de ESTRADIOL. É um estado de Hipogonadismo Hipergonatrópico da mulher. Entre as etiologias estão defeitos genéticos, processos autoimunes, quimioterapia, radiação e infecções. A causa genética mais conhecida é a expansão das repetições CGG de 55 para 199 cópias na região não traduzida 5' no gene FMR1 ligado ao X."
2332,primary,Pré-Eclâmpsia,Pre-Eclampsia,D011225,C12.050.703.395.249,Doenças › C12.050.703.395.249,"Complicação de GRAVIDEZ, caracterizada por um complexo de sintomas incluindo HIPERTENSÃO materna e PROTEINURIA com ou sem EDEMA patológico. Os sintomas variam de brandos a graves. A pré-eclâmpsia ocorre após a 20a semana de gestação, porém pode se desenvolver antes deste tempo, na presença de doença trofoblástica."
2332,primary,Aspirina,Aspirin,D001241,D02.455.426.559.389.657.410.595.176,Compostos Químicos e Drogas › D02.455.426.559.389.657.410.595.176,"O analgésico protótipo utilizado no tratamento da dor, de intensidade leve à moderada. Possui propriedades anti-inflamatórias e antipiréticas, atuando como um inibidor da cicloxigenase, que leva a uma inibição da biossíntese das prostaglandinas. A aspirina também inibe a agregação plaquetária e é utilizada na prevenção da trombose arterial e venosa."
2333,primary,Infertilidade,Infertility,D007246,C12.100.750,Doenças › C12.100.750,Capacidade reduzida ou ausente de se reproduzir.
2333,primary,Hiperprolactinemia,Hyperprolactinemia,D006966,C10.228.140.617.738.250.450; C19.700.355.600,Doenças › C10.228.140.617.738.250.450,"Níveis elevados de PROLACTINA no SANGUE, que podem estar associados com AMENORREIA E GALACTORREIA. Entre as etiologias relativamente comuns estão PROLACTINOMA, efeito adverso de medicamentos, FALÊNCIA RENAL, doenças granulomatosas da HIPÓFISE e transtornos que interferem com a inibição hipotalâmica da liberação de prolactina. Pode ocorrer também a produção ectópica (não hipofisária) de prolactina. (Tradução livre do original: Joynt, Clinical Neurology, 1992, Ch36, pp77-8)"
2334,primary,Sífilis,Syphilis,D013587,C01.150.252.400.794.840.500; C01.150.252.400.840.500; C01.150.252.734.859; C01.221.812.281.859; C01.778.281.859; C12.100.937.281.859,Doenças › C01.150.252.400.794.840.500,Doença contagiosa venérea causada pela espiroqueta TREPONEMA PALLIDUM.
2334,primary,Diagnóstico,Diagnosis,D003933,E01,Técnicas e Equipamentos Analíticos,"Determinação da natureza de uma doença ou estado, ou a diferenciação entre elas. A avaliação pode ser feita através de exame físico, exames laboratoriais, ou similares. É possível usar softwares para melhorar o processo de tomada de decisão."
2335,primary,Neoplasias,Neoplasms,D009369,C04,Doenças,Crescimento novo anormal de tecido. As neoplasias malignas apresentam um maior grau de anaplasia e têm propriedades de invasão e de metástase quando comparadas às neoplasias benignas.
2335,primary,Hipertensão,Hypertension,D006973,C14.907.489,Doenças › C14.907.489,"PRESSÃO ARTERIAL sistêmica persistentemente alta. Com base em várias medições (DETERMINAÇÃO DA PRESSÃO ARTERIAL), a hipertensão é atualmente definida como sendo a PRESSÃO SISTÓLICA repetidamente maior que 140 mm Hg ou a PRESSÃO DIASTÓLICA de 90 mm Hg ou superior."
2336,primary,Prevenção Secundária,Secondary Prevention,D055502,E02.897; N02.421.726.825; N06.850.780.750; SP2.840.385.619.561,Técnicas e Equipamentos Analíticos › E02.897,Prevenção de recorrências ou exacerbações de uma doença ou de complicações advindas de seu tratamento.
